Volume,AdjClose,Country
6203800,28.77,USA
8983600,28.99,USA
8837400,28.7,USA
10891800,29.26,USA
11575200,28.9,Spain
19611300,29.78,USA
17251600,28.91,USA
12589400,28.39,France
15298500,28.17,UK
10640100,27.26,UK
9252200,27.5,USA
12597900,27.49,USA
14736100,27.22,UK
19332800,27.44,UK
12847200,27.08,USA
11607900,26.99,USA
15468500,26.9,France
18116200,26.63,USA
18613100,26.94,USA
16492600,27.14,UK
21584800,27.47,USA
25153000,26.7,Sweden
20073800,27.08,USA
21388800,26.95,USA
42631300,26.94,Sweden
36187100,25.89,UK
54659700,25.27,UK
204339000,25.2,USA
39767700,32.24,UK
16369600,31.84,USA
12484700,32.08,Canada
19463500,32.23,USA
18708400,33.38,USA
11285900,33.17,USA
15317600,32.85,UK
12372500,32.5,Canada
13801500,33.11,USA
13453900,32.47,USA
8067100,33.3,UK
22566600,33,USA
15745900,32.97,USA
14032800,31.92,USA
16589400,31.51,USA
11457000,31.55,Canada
17378500,31.37,USA
11500300,30.68,UK
18252900,31.06,Italy
12613200,30.6,Canada
12236700,30.35,UK
12951700,30.36,USA
22375000,30.79,UK
19257500,29.62,UK
16435700,29.65,USA
14344600,29.78,Spain
10044700,30.37,USA
20538600,30.45,USA
17470100,30.54,USA
15615600,30.7,UK
17188500,30.82,USA
16470900,31.52,USA
16652400,31.99,USA
21306700,31.59,USA
16247600,32,Canada
13842600,33.02,USA
34732700,32.92,USA
27286300,31.79,USA
28583400,30.76,UK
35089300,30.46,USA
33121900,29.53,USA
38254000,29,USA
39847500,30.11,UK
15333700,30.97,USA
13350700,31.03,Germany
16745600,30.81,UK
24277000,30.99,USA
13797500,32.09,USA
13396400,32.49,Germany
18188200,32.87,USA
14689200,32.66,UK
10402300,32.19,Australia
23292600,32.17,USA
16276000,31.85,Spain
19752200,32.08,USA
13283500,32.78,USA
19635700,33.2,USA
24426400,33,USA
22363200,31.99,USA
15441600,33.01,USA
25215000,32.89,USA
23403900,33.37,USA
77253600,33.54,Canada
38604500,31.3,USA
18239900,30.97,Canada
15609800,31.13,Netherland
14926900,31.1,USA
22105600,31.39,Sweden
9618000,32.55,USA
12980200,32.27,USA
21572600,32.79,USA
11982500,32.11,USA
16232700,32.1,UK
14887900,31.89,USA
12677300,32.26,USA
14314000,32.42,USA
25508200,32.56,Italy
25981500,32.39,Sweden
14858500,31.45,USA
17816500,31.77,Canada
33834000,31.83,USA
23147400,30.75,Sweden
18876400,30.11,USA
21455200,30.44,USA
23629700,30.07,USA
17108000,30.13,USA
20758000,30.53,USA
19294700,30.99,USA
18437700,30.15,USA
28991400,30.58,USA
18277000,30.28,UK
20910200,30.99,UK
23365100,31.43,USA
17211200,31.57,USA
23196000,31.45,UK
23487300,31.7,USA
18466100,32.18,France
39926200,32.06,Netherland
11821900,32.74,Sweden
10136400,33.01,USA
14947600,33.15,USA
18433500,33.16,USA
14328100,32.39,Canada
12620200,32.76,UK
19500100,32.75,USA
19542100,33.02,USA
26198600,32.72,USA
26139300,32.04,USA
19628600,32.51,USA
25335200,32.5,Australia
28112900,33,USA
37236800,33.02,USA
23523100,32.92,Canada
32639600,33.54,Spain
18323500,34.25,USA
43600400,35,USA
36538000,34.38,USA
29030600,35.05,Spain
24317400,35.09,USA
28471400,35.17,USA
23779200,34.49,UK
31667800,34.87,USA
30887600,34.17,USA
57644600,33.74,USA
60913000,34.33,Australia
118556100,35.18,UK
41797000,40.11,USA
30960800,39.9,USA
18921700,40.89,USA
26191400,41.87,UK
16287200,42.98,USA
16266900,43.42,UK
29418400,43.21,Australia
12829100,41.53,USA
20549000,40.97,USA
24227700,40.91,France
12233000,39.18,France
10116600,39.56,USA
11567900,40.25,USA
11672900,39.94,UK
5070200,40.63,Canada
9548300,40.83,Canada
11626900,40.47,USA
15269500,40.68,Canada
18563700,41.05,USA
21805000,42.32,Canada
20900800,41.75,Australia
23034200,41.3,USA
17264700,41.2,USA
9776300,40.08,USA
11116900,40.31,USA
12851600,40.35,USA
15644900,40.11,USA
16356800,40.19,USA
15389400,40.47,USA
14411400,41.21,USA
20069600,41.07,USA
31608700,40.23,USA
28698200,40.19,USA
23190900,41.11,Germany
8253000,42.13,USA
21471000,42.5,USA
26389500,42.36,USA
27915500,42.27,USA
30747600,41.54,UK
44796000,42.23,USA
39464600,40.04,USA
11981600,37.65,USA
10112500,38.45,USA
12234400,38.49,Australia
13722400,38.69,Netherland
12217600,37.75,USA
14434400,37.97,USA
11652700,37.9,USA
11656100,37.87,USA
16880800,37.45,USA
17886200,37.99,UK
41932100,37.72,France
24867100,36.97,USA
14123800,35.58,USA
11605000,35.45,USA
17125600,35.46,USA
14441100,35.12,Canada
19591900,35.28,USA
28423400,35.29,France
29267000,35.26,USA
63254000,35.91,USA
35010300,33.7,USA
21994600,34.16,USA
17425200,33.52,UK
16254600,33.37,USA
16089600,33.93,UK
16504700,34.1,USA
15227800,34.53,USA
12253200,34.16,Canada
21836100,33.8,Canada
14642000,33.49,UK
14331000,33.57,USA
13184500,33.77,USA
15697000,33.84,UK
22209100,33.46,USA
11622800,32.35,USA
12246900,32.48,UK
13548200,32.18,UK
14903700,32.13,USA
18259400,32.04,USA
21896000,31.97,USA
14578900,32.64,USA
15429900,32.75,UK
20858300,33.17,USA
10404800,33.57,USA
15017400,33.8,USA
19346600,34.3,UK
18580300,33.91,USA
15247900,33.46,USA
17464400,33.34,USA
12545300,34.06,USA
12513300,33.68,USA
6849000,33.17,Japan
11848500,33.24,USA
13035500,33.32,USA
13496000,33.18,USA
11427600,33.68,UK
9833400,33.57,UK
12564900,33.48,Canada
23249500,33.47,Norway
16912700,33.11,USA
